English,Hindi,Kaithi
Will you go to America next month,तुम अगले महीने अम्रीका जाओगे क्या?,𑂞𑂳𑂧 𑂃𑂏𑂪𑂵 𑂧𑂯𑂲𑂢𑂵 𑂃𑂧𑂹𑂩𑂲𑂍𑂰 𑂔𑂰𑂋𑂏𑂵 𑂍𑂹𑂨𑂰?
Would you like another cup of tea,आप एक और कप चाय पीना चाहेंगे क्या?,𑂄𑂣 𑂉𑂍 𑂌𑂩 𑂍𑂣 𑂒𑂰𑂨 𑂣𑂲𑂢𑂰 𑂒𑂰𑂯𑂵𑂁𑂏𑂵 𑂍𑂹𑂨𑂰?
You had better not read this book,तुम यह किताब न ही पढ़ो बेहतर होगा।,𑂞𑂳𑂧 𑂨𑂯 𑂍𑂱𑂞𑂰𑂥 𑂢 𑂯𑂲 𑂣𑂛़𑂷 𑂥𑂵𑂯𑂞𑂩 𑂯𑂷𑂏𑂰।
You must keep an eye on the child,तुम्हे बच्चे पर नज़र रखनी पड़ेगी।,𑂞𑂳𑂧𑂹𑂯𑂵 𑂥𑂒𑂹𑂒𑂵 𑂣𑂩 𑂢𑂔़𑂩 𑂩𑂎𑂢𑂲 𑂣𑂙़𑂵𑂏𑂲।
You've got nothing to complain of,तुम्हारे पास शिकायत करने के लिए को भी वजह नहीं है।,𑂞𑂳𑂧𑂹𑂯𑂰𑂩𑂵 𑂣𑂰𑂮 𑂬𑂱𑂍𑂰𑂨𑂞 𑂍𑂩𑂢𑂵 𑂍𑂵 𑂪𑂱𑂉 𑂍𑂷 𑂦𑂲 𑂫𑂔𑂯 𑂢𑂯𑂲𑂁 𑂯𑂶।
Your sister can not speak English,तुम्हारी बहन अंग्रेज़ी नहीं बोल सकती है।,𑂞𑂳𑂧𑂹𑂯𑂰𑂩𑂲 𑂥𑂯𑂢 𑂃𑂁𑂏𑂹𑂩𑂵𑂔़𑂲 𑂢𑂯𑂲𑂁 𑂥𑂷𑂪 𑂮𑂍𑂞𑂲 𑂯𑂶।
A police officer is talking to her,एक पुलिस अफ़सर उससे बात कर रहा है।,𑂉𑂍 𑂣𑂳𑂪𑂱𑂮 𑂃𑂤़𑂮𑂩 𑂇𑂮𑂮𑂵 𑂥𑂰𑂞 𑂍𑂩 𑂩𑂯𑂰 𑂯𑂶।
An elephant is a very large animal,हाथी एक बहुत बड़ा जानवर होता है।,𑂯𑂰𑂟𑂲 𑂉𑂍 𑂥𑂯𑂳𑂞 𑂥𑂙़𑂰 𑂔𑂰𑂢𑂫𑂩 𑂯𑂷𑂞𑂰 𑂯𑂶।
Are you sure of her coming on time,तुम्हे पक्का मालूम है कि वह समय पर आ रही है?,𑂞𑂳𑂧𑂹𑂯𑂵 𑂣𑂍𑂹𑂍𑂰 𑂧𑂰𑂪𑂴𑂧 𑂯𑂶 𑂍𑂱 𑂫𑂯 𑂮𑂧𑂨 𑂣𑂩 𑂄 𑂩𑂯𑂲 𑂯𑂶?
"As a matter of fact, I dislike him",दरअसल मुझे वह पसंद नहीं है।,𑂠𑂩𑂃𑂮𑂪 𑂧𑂳𑂕𑂵 𑂫𑂯 𑂣𑂮𑂁𑂠 𑂢𑂯𑂲𑂁 𑂯𑂶।
Bern is the capital of Switzerland,बर्न स्विजरलैंड की राजधानी है।,𑂥𑂩𑂹𑂢 𑂮𑂹𑂫𑂱𑂔𑂩𑂪𑂶𑂁𑂙 𑂍𑂲 𑂩𑂰𑂔𑂡𑂰𑂢𑂲 𑂯𑂶।
"Could you call again later, please",क्या आप थोड़ी देर बाद फिरसे फ़ोन कर सकतें हैं?,𑂍𑂹𑂨𑂰 𑂄𑂣 𑂟𑂷𑂙़𑂲 𑂠𑂵𑂩 𑂥𑂰𑂠 𑂤𑂱𑂩𑂮𑂵 𑂤़𑂷𑂢 𑂍𑂩 𑂮𑂍𑂞𑂵𑂁 𑂯𑂶𑂁?
Did you hear the news on the radio,तुमने रेडियो पर खबर सुनी क्या?,𑂞𑂳𑂧𑂢𑂵 𑂩𑂵𑂙𑂱𑂨𑂷 𑂣𑂩 𑂎𑂥𑂩 𑂮𑂳𑂢𑂲 𑂍𑂹𑂨𑂰?
Do you have these shoes in my size,क्या ये जूते मेरे नाप में भी हैं?,𑂍𑂹𑂨𑂰 𑂨𑂵 𑂔𑂴𑂞𑂵 𑂧𑂵𑂩𑂵 𑂢𑂰𑂣 𑂧𑂵𑂁 𑂦𑂲 𑂯𑂶𑂁?
Do you have these shoes in my size,क्या ये जूते मेरे नाप में भी मिल सकते हैं?,𑂍𑂹𑂨𑂰 𑂨𑂵 𑂔𑂴𑂞𑂵 𑂧𑂵𑂩𑂵 𑂢𑂰𑂣 𑂧𑂵𑂁 𑂦𑂲 𑂧𑂱𑂪 𑂮𑂍𑂞𑂵 𑂯𑂶𑂁?
Do you like to live in the country,आप को गाँव में रहना पसंद है क्या?,𑂄𑂣 𑂍𑂷 𑂏𑂰𑂀𑂫 𑂧𑂵𑂁 𑂩𑂯𑂢𑂰 𑂣𑂮𑂁𑂠 𑂯𑂶 𑂍𑂹𑂨𑂰?
Don't be afraid of making mistakes,ग़लतियाँ करने से मत डरो।,𑂏़𑂪𑂞𑂱𑂨𑂰𑂀 𑂍𑂩𑂢𑂵 𑂮𑂵 𑂧𑂞 𑂙𑂩𑂷।
Don't speak ill of your classmates,अपने सहपाठियों की बुराई मत करो।,𑂃𑂣𑂢𑂵 𑂮𑂯𑂣𑂰𑂘𑂱𑂨𑂷𑂁 𑂍𑂲 𑂥𑂳𑂩𑂰𑂆 𑂧𑂞 𑂍𑂩𑂷।
Every man should learn how to cook,हर आदमी को खाना बनाना सीखना चाहिए।,𑂯𑂩 𑂄𑂠𑂧𑂲 𑂍𑂷 𑂎𑂰𑂢𑂰 𑂥𑂢𑂰𑂢𑂰 𑂮𑂲𑂎𑂢𑂰 𑂒𑂰𑂯𑂱𑂉।
Everybody wants to live in comfort,सभी लोग आराम की ज़िन्दगी जीना चाहते हैं।,𑂮𑂦𑂲 𑂪𑂷𑂏 𑂄𑂩𑂰𑂧 𑂍𑂲 𑂔़𑂱𑂢𑂹𑂠𑂏𑂲 𑂔𑂲𑂢𑂰 𑂒𑂰𑂯𑂞𑂵 𑂯𑂶𑂁।
Few people will admit their faults,बहुत कम लोग अपनी गलतियों को मानते हैं।,𑂥𑂯𑂳𑂞 𑂍𑂧 𑂪𑂷𑂏 𑂃𑂣𑂢𑂲 𑂏𑂪𑂞𑂱𑂨𑂷𑂁 𑂍𑂷 𑂧𑂰𑂢𑂞𑂵 𑂯𑂶𑂁।
He did the reverse of what I asked,उसने मेरे बताए हुए से उलटा काम किया।,𑂇𑂮𑂢𑂵 𑂧𑂵𑂩𑂵 𑂥𑂞𑂰𑂉 𑂯𑂳𑂉 𑂮𑂵 𑂇𑂪𑂗𑂰 𑂍𑂰𑂧 𑂍𑂱𑂨𑂰।
He died without having made a will,वह वसीयत बनाए बिना ही मर गया।,𑂫𑂯 𑂫𑂮𑂲𑂨𑂞 𑂥𑂢𑂰𑂉 𑂥𑂱𑂢𑂰 𑂯𑂲 𑂧𑂩 𑂏𑂨𑂰।
He doesn't live in my neighborhood,वह मेरे आस-पड़ोस में नहीं रहता।,𑂫𑂯 𑂧𑂵𑂩𑂵 𑂄𑂮-𑂣𑂙़𑂷𑂮 𑂧𑂵𑂁 𑂢𑂯𑂲𑂁 𑂩𑂯𑂞𑂰।
He had nothing to do with the case,उसका इस केस के साथ कोई लेना-देना नहीं था।,𑂇𑂮𑂍𑂰 𑂅𑂮 𑂍𑂵𑂮 𑂍𑂵 𑂮𑂰𑂟 𑂍𑂷𑂆 𑂪𑂵𑂢𑂰-𑂠𑂵𑂢𑂰 𑂢𑂯𑂲𑂁 𑂟𑂰।
He had to go without food for days,उसने दिनों तक खाना नहीं खाया।,𑂇𑂮𑂢𑂵 𑂠𑂱𑂢𑂷𑂁 𑂞𑂍 𑂎𑂰𑂢𑂰 𑂢𑂯𑂲𑂁 𑂎𑂰𑂨𑂰।
He has no sense of right and wrong,वह सही-ग़लत में अंतर करना नहीं जानता।,𑂫𑂯 𑂮𑂯𑂲-𑂏़𑂪𑂞 𑂧𑂵𑂁 𑂃𑂁𑂞𑂩 𑂍𑂩𑂢𑂰 𑂢𑂯𑂲𑂁 𑂔𑂰𑂢𑂞𑂰।
He has plenty of money in the bank,उसके पास बैंक में बहुत पैसे हैं।,𑂇𑂮𑂍𑂵 𑂣𑂰𑂮 𑂥𑂶𑂁𑂍 𑂧𑂵𑂁 𑂥𑂯𑂳𑂞 𑂣𑂶𑂮𑂵 𑂯𑂶𑂁।
He kept us waiting for a long time,उसने हमसे बहुत देर तक इंतेज़ार करवाया।,𑂇𑂮𑂢𑂵 𑂯𑂧𑂮𑂵 𑂥𑂯𑂳𑂞 𑂠𑂵𑂩 𑂞𑂍 𑂅𑂁𑂞𑂵𑂔़𑂰𑂩 𑂍𑂩𑂫𑂰𑂨𑂰।
He left a large fortune to his son,उसने अपने बेटे के लिए बड़ी जायदाद छोड़ी।,𑂇𑂮𑂢𑂵 𑂃𑂣𑂢𑂵 𑂥𑂵𑂗𑂵 𑂍𑂵 𑂪𑂱𑂉 𑂥𑂙़𑂲 𑂔𑂰𑂨𑂠𑂰𑂠 𑂓𑂷𑂙़𑂲।
He put down the rebellion in India,उसने भारत में विद्रोह को रोका।,𑂇𑂮𑂢𑂵 𑂦𑂰𑂩𑂞 𑂧𑂵𑂁 𑂫𑂱𑂠𑂹𑂩𑂷𑂯 𑂍𑂷 𑂩𑂷𑂍𑂰।
He ran faster than his brother did,वह अपने भाई से तेज़ भागता था।,𑂫𑂯 𑂃𑂣𑂢𑂵 𑂦𑂰𑂆 𑂮𑂵 𑂞𑂵𑂔़ 𑂦𑂰𑂏𑂞𑂰 𑂟𑂰।
He rescued the child from the fire,उसने बच्चे को आग से बचाया।,𑂇𑂮𑂢𑂵 𑂥𑂒𑂹𑂒𑂵 𑂍𑂷 𑂄𑂏 𑂮𑂵 𑂥𑂒𑂰𑂨𑂰।
He speaks English better than I do,वह अंग्रेज़ी मुझसे अच्छा बोलता है।,𑂫𑂯 𑂃𑂁𑂏𑂹𑂩𑂵𑂔़𑂲 𑂧𑂳𑂕𑂮𑂵 𑂃𑂒𑂹𑂓𑂰 𑂥𑂷𑂪𑂞𑂰 𑂯𑂶।
How do you like living on your own,तुम्हे अकेले रहना अच्छा लगता है क्या?,𑂞𑂳𑂧𑂹𑂯𑂵 𑂃𑂍𑂵𑂪𑂵 𑂩𑂯𑂢𑂰 𑂃𑂒𑂹𑂓𑂰 𑂪𑂏𑂞𑂰 𑂯𑂶 𑂍𑂹𑂨𑂰?
How is it going in the fish market,मछली बाज़ार में कैसा चल रहा है?,𑂧𑂓𑂪𑂲 𑂥𑂰𑂔़𑂰𑂩 𑂧𑂵𑂁 𑂍𑂶𑂮𑂰 𑂒𑂪 𑂩𑂯𑂰 𑂯𑂶?
How long will it take to get there,वहाँ पहुँचने में कितनी देर लगेगी?,𑂫𑂯𑂰𑂀 𑂣𑂯𑂳𑂀𑂒𑂢𑂵 𑂧𑂵𑂁 𑂍𑂱𑂞𑂢𑂲 𑂠𑂵𑂩 𑂪𑂏𑂵𑂏𑂲?
How many books do you read a month,तुम एक महीने में कितनी किताबें पढ़ते हो?,𑂞𑂳𑂧 𑂉𑂍 𑂧𑂯𑂲𑂢𑂵 𑂧𑂵𑂁 𑂍𑂱𑂞𑂢𑂲 𑂍𑂱𑂞𑂰𑂥𑂵𑂁 𑂣𑂛़𑂞𑂵 𑂯𑂷?
How many sandwiches are there left,कितने सैंडविच बचे हैं?,𑂍𑂱𑂞𑂢𑂵 𑂮𑂶𑂁𑂙𑂫𑂱𑂒 𑂥𑂒𑂵 𑂯𑂶𑂁?
I am his friend and will remain so,मैं उसका दोस्त हूँ और रहूँगा।,𑂧𑂶𑂁 𑂇𑂮𑂍𑂰 𑂠𑂷𑂮𑂹𑂞 𑂯𑂴𑂀 𑂌𑂩 𑂩𑂯𑂴𑂀𑂏𑂰।
I am married and have two children,मैं शादीशुदा हूँ और मेरे दो बच्चे हैं।,𑂧𑂶𑂁 𑂬𑂰𑂠𑂲𑂬𑂳𑂠𑂰 𑂯𑂴𑂀 𑂌𑂩 𑂧𑂵𑂩𑂵 𑂠𑂷 𑂥𑂒𑂹𑂒𑂵 𑂯𑂶𑂁।
I cannot tolerate naughty children,मैं नटखट बच्चों को बर्दाश्त नहीं कर सकता।,𑂧𑂶𑂁 𑂢𑂗𑂎𑂗 𑂥𑂒𑂹𑂒𑂷𑂁 𑂍𑂷 𑂥𑂩𑂹𑂠𑂰𑂬𑂹𑂞 𑂢𑂯𑂲𑂁 𑂍𑂩 𑂮𑂍𑂞𑂰।
I don't know who wrote this letter,मुझे नहीं पता कि यह चिट्ठी किसने लिखी है।,𑂧𑂳𑂕𑂵 𑂢𑂯𑂲𑂁 𑂣𑂞𑂰 𑂍𑂱 𑂨𑂯 𑂒𑂱𑂗𑂹𑂘𑂲 𑂍𑂱𑂮𑂢𑂵 𑂪𑂱𑂎𑂲 𑂯𑂶।
I don't like studying in this heat,मुझे इस गर्मी में पढ़ाई करना अच्छा नहीं लगता।,𑂧𑂳𑂕𑂵 𑂅𑂮 𑂏𑂩𑂹𑂧𑂲 𑂧𑂵𑂁 𑂣𑂛़𑂰𑂆 𑂍𑂩𑂢𑂰 𑂃𑂒𑂹𑂓𑂰 𑂢𑂯𑂲𑂁 𑂪𑂏𑂞𑂰।
I don't think I can wait that long,मैं उतनी देर रुक नहीं सकता।,𑂧𑂶𑂁 𑂇𑂞𑂢𑂲 𑂠𑂵𑂩 𑂩𑂳𑂍 𑂢𑂯𑂲𑂁 𑂮𑂍𑂞𑂰।
I doubt the truth of his statement,मुझे उसके बयान की सच्चाई पर शक है।,𑂧𑂳𑂕𑂵 𑂇𑂮𑂍𑂵 𑂥𑂨𑂰𑂢 𑂍𑂲 𑂮𑂒𑂹𑂒𑂰𑂆 𑂣𑂩 𑂬𑂍 𑂯𑂶।
I fell down the stairs in my haste,अपनी ही जल्दबाज़ी मे मैं सीढ़ियों से नीचे गिर गया।,𑂃𑂣𑂢𑂲 𑂯𑂲 𑂔𑂪𑂹𑂠𑂥𑂰𑂔़𑂲 𑂧𑂵 𑂧𑂶𑂁 𑂮𑂲𑂛़𑂱𑂨𑂷𑂁 𑂮𑂵 𑂢𑂲𑂒𑂵 𑂏𑂱𑂩 𑂏𑂨𑂰।
I had my brother repair my bicycle,मैंने अपने भाई से अपनी साईकल ठीक करवाई।,𑂧𑂶𑂁𑂢𑂵 𑂃𑂣𑂢𑂵 𑂦𑂰𑂆 𑂮𑂵 𑂃𑂣𑂢𑂲 𑂮𑂰𑂆𑂍𑂪 𑂘𑂲𑂍 𑂍𑂩𑂫𑂰𑂆।
I had nothing to do with the group,मेरा उस ग्रुप के साथ कोई संबंध नहीं था।,𑂧𑂵𑂩𑂰 𑂇𑂮 𑂏𑂹𑂩𑂳𑂣 𑂍𑂵 𑂮𑂰𑂟 𑂍𑂷𑂆 𑂮𑂁𑂥𑂁𑂡 𑂢𑂯𑂲𑂁 𑂟𑂰।
I haven't seen him for a long time,मैंने उसे बहुत दिनों से नहीं देखा है।,𑂧𑂶𑂁𑂢𑂵 𑂇𑂮𑂵 𑂥𑂯𑂳𑂞 𑂠𑂱𑂢𑂷𑂁 𑂮𑂵 𑂢𑂯𑂲𑂁 𑂠𑂵𑂎𑂰 𑂯𑂶।
I hear that she's a famous actress,मैंने सुना है कि वे मश्हूर अभिनेत्री हैं।,𑂧𑂶𑂁𑂢𑂵 𑂮𑂳𑂢𑂰 𑂯𑂶 𑂍𑂱 𑂫𑂵 𑂧𑂬𑂹𑂯𑂴𑂩 𑂃𑂦𑂱𑂢𑂵𑂞𑂹𑂩𑂲 𑂯𑂶𑂁।
I helped my mother wash the dishes,मैंने अपनी मम्मी को बर्तन धोने में मदद करी।,𑂧𑂶𑂁𑂢𑂵 𑂃𑂣𑂢𑂲 𑂧𑂧𑂹𑂧𑂲 𑂍𑂷 𑂥𑂩𑂹𑂞𑂢 𑂡𑂷𑂢𑂵 𑂧𑂵𑂁 𑂧𑂠𑂠 𑂍𑂩𑂲।
I learned French instead of German,मैंने जर्मन की बजाय फ़्रानसीसी सीखी ।,𑂧𑂶𑂁𑂢𑂵 𑂔𑂩𑂹𑂧𑂢 𑂍𑂲 𑂥𑂔𑂰𑂨 𑂤़𑂹𑂩𑂰𑂢𑂮𑂲𑂮𑂲 𑂮𑂲𑂎𑂲 ।
I ordered those books from Germany,मैंने उन किताबों जो जर्मनी से खरीदकर मंगवाया था।,𑂧𑂶𑂁𑂢𑂵 𑂇𑂢 𑂍𑂱𑂞𑂰𑂥𑂷𑂁 𑂔𑂷 𑂔𑂩𑂹𑂧𑂢𑂲 𑂮𑂵 𑂎𑂩𑂲𑂠𑂍𑂩 𑂧𑂁𑂏𑂫𑂰𑂨𑂰 𑂟𑂰।
I want to know about this mountain,मुझे इस पहाड़ के बारे में जानना है।,𑂧𑂳𑂕𑂵 𑂅𑂮 𑂣𑂯𑂰𑂙़ 𑂍𑂵 𑂥𑂰𑂩𑂵 𑂧𑂵𑂁 𑂔𑂰𑂢𑂢𑂰 𑂯𑂶।
I was able to play piano very well,मैं पियानो बहुत अच्छा बजा लेता था।,𑂧𑂶𑂁 𑂣𑂱𑂨𑂰𑂢𑂷 𑂥𑂯𑂳𑂞 𑂃𑂒𑂹𑂓𑂰 𑂥𑂔𑂰 𑂪𑂵𑂞𑂰 𑂟𑂰।
I wish to go to Paris to study art,मैं पैरिस जाकर आर्ट पढ़ना चाहता हूँ।,𑂧𑂶𑂁 𑂣𑂶𑂩𑂱𑂮 𑂔𑂰𑂍𑂩 𑂄𑂩𑂹𑂗 𑂣𑂛़𑂢𑂰 𑂒𑂰𑂯𑂞𑂰 𑂯𑂴𑂀।
I wish to go to Paris to study art,मैं पैरिस जाकर आर्ट पढ़ना चाहती हूँ।,𑂧𑂶𑂁 𑂣𑂶𑂩𑂱𑂮 𑂔𑂰𑂍𑂩 𑂄𑂩𑂹𑂗 𑂣𑂛़𑂢𑂰 𑂒𑂰𑂯𑂞𑂲 𑂯𑂴𑂀।
I'm anxious for him to return safe,मैं उसके सुरक्षित लौटने के लिए बेचैन हूँ।,𑂧𑂶𑂁 𑂇𑂮𑂍𑂵 𑂮𑂳𑂩𑂍𑂹𑂭𑂱𑂞 𑂪𑂸𑂗𑂢𑂵 𑂍𑂵 𑂪𑂱𑂉 𑂥𑂵𑂒𑂶𑂢 𑂯𑂴𑂀।
"If I don't do it now, I never will",अगर मैं अभी नहीं करूँगा तो कभी नहीं करूँगा।,𑂃𑂏𑂩 𑂧𑂶𑂁 𑂃𑂦𑂲 𑂢𑂯𑂲𑂁 𑂍𑂩𑂴𑂀𑂏𑂰 𑂞𑂷 𑂍𑂦𑂲 𑂢𑂯𑂲𑂁 𑂍𑂩𑂴𑂀𑂏𑂰।
"If I had wings, I would fly to you",अगर मेरे पास पंख होते तो मैं उड़कर तुम्हारे पास चला आता।,𑂃𑂏𑂩 𑂧𑂵𑂩𑂵 𑂣𑂰𑂮 𑂣𑂁𑂎 𑂯𑂷𑂞𑂵 𑂞𑂷 𑂧𑂶𑂁 𑂇𑂙़𑂍𑂩 𑂞𑂳𑂧𑂹𑂯𑂰𑂩𑂵 𑂣𑂰𑂮 𑂒𑂪𑂰 𑂄𑂞𑂰।
It has been fine since last Friday,पिछले शनिवार से मौसम बहुत अच्छा है।,𑂣𑂱𑂓𑂪𑂵 𑂬𑂢𑂱𑂫𑂰𑂩 𑂮𑂵 𑂧𑂸𑂮𑂧 𑂥𑂯𑂳𑂞 𑂃𑂒𑂹𑂓𑂰 𑂯𑂶।
It is going to rain this afternoon,आज दोपहर बारिश होने वाली है।,𑂄𑂔 𑂠𑂷𑂣𑂯𑂩 𑂥𑂰𑂩𑂱𑂬 𑂯𑂷𑂢𑂵 𑂫𑂰𑂪𑂲 𑂯𑂶।
It seems that everybody likes golf,ऐसा लगता है जैसे कि सभी लोगों को गौल्फ़ अच्छा लगता है।,𑂊𑂮𑂰 𑂪𑂏𑂞𑂰 𑂯𑂶 𑂔𑂶𑂮𑂵 𑂍𑂱 𑂮𑂦𑂲 𑂪𑂷𑂏𑂷𑂁 𑂍𑂷 𑂏𑂸𑂪𑂹𑂤़ 𑂃𑂒𑂹𑂓𑂰 𑂪𑂏𑂞𑂰 𑂯𑂶।
It shouldn't take long to find Tom,टॉम को ढूँढने में समय नहीं लगना चाहिए।,𑂗ॉ𑂧 𑂍𑂷 𑂛𑂴𑂀𑂛𑂢𑂵 𑂧𑂵𑂁 𑂮𑂧𑂨 𑂢𑂯𑂲𑂁 𑂪𑂏𑂢𑂰 𑂒𑂰𑂯𑂱𑂉।
It's more difficult than you think,जितना तुम सोच रहे हो उतना आसान नहीं है।,𑂔𑂱𑂞𑂢𑂰 𑂞𑂳𑂧 𑂮𑂷𑂒 𑂩𑂯𑂵 𑂯𑂷 𑂇𑂞𑂢𑂰 𑂄𑂮𑂰𑂢 𑂢𑂯𑂲𑂁 𑂯𑂶।
Learning a foreign language is fun,विदेषी भाषा सीखना बहुत मज़ेदार होता है।,𑂫𑂱𑂠𑂵𑂭𑂲 𑂦𑂰𑂭𑂰 𑂮𑂲𑂎𑂢𑂰 𑂥𑂯𑂳𑂞 𑂧𑂔़𑂵𑂠𑂰𑂩 𑂯𑂷𑂞𑂰 𑂯𑂶।
My brother depends on me for money,मेरा भाई पैसों के लिए मुझपर निर्भर है।,𑂧𑂵𑂩𑂰 𑂦𑂰𑂆 𑂣𑂶𑂮𑂷𑂁 𑂍𑂵 𑂪𑂱𑂉 𑂧𑂳𑂕𑂣𑂩 𑂢𑂱𑂩𑂹𑂦𑂩 𑂯𑂶।
My sister is very fond of children,मेरी बहन को बच्चों से बहुत प्यार है।,𑂧𑂵𑂩𑂲 𑂥𑂯𑂢 𑂍𑂷 𑂥𑂒𑂹𑂒𑂷𑂁 𑂮𑂵 𑂥𑂯𑂳𑂞 𑂣𑂹𑂨𑂰𑂩 𑂯𑂶।
My wife has just cleared the table,मेरी बीवी ने अभी-अभी मेज़ को साफ़ किया है।,𑂧𑂵𑂩𑂲 𑂥𑂲𑂫𑂲 𑂢𑂵 𑂃𑂦𑂲-𑂃𑂦𑂲 𑂧𑂵𑂔़ 𑂍𑂷 𑂮𑂰𑂤़ 𑂍𑂱𑂨𑂰 𑂯𑂶।
Nowadays nobody believes in ghosts,आजकल कोई भी भूत-प्रेत में विश्वास नहीं करता।,𑂄𑂔𑂍𑂪 𑂍𑂷𑂆 𑂦𑂲 𑂦𑂴𑂞-𑂣𑂹𑂩𑂵𑂞 𑂧𑂵𑂁 𑂫𑂱𑂬𑂹𑂫𑂰𑂮 𑂢𑂯𑂲𑂁 𑂍𑂩𑂞𑂰।
One is tall and the other is short,एक लम्बा है और दूसरा छोटा है।,𑂉𑂍 𑂪𑂧𑂹𑂥𑂰 𑂯𑂶 𑂌𑂩 𑂠𑂴𑂮𑂩𑂰 𑂓𑂷𑂗𑂰 𑂯𑂶।
She accused me of making a mistake,उसने मुझपर ग़लती करने का इलज़ाम लगाया।,𑂇𑂮𑂢𑂵 𑂧𑂳𑂕𑂣𑂩 𑂏़𑂪𑂞𑂲 𑂍𑂩𑂢𑂵 𑂍𑂰 𑂅𑂪𑂔़𑂰𑂧 𑂪𑂏𑂰𑂨𑂰।
She asked me if I knew her address,उसने मुझसे पूछा कि मैं उसका पता जानता था या नहीं।,𑂇𑂮𑂢𑂵 𑂧𑂳𑂕𑂮𑂵 𑂣𑂴𑂓𑂰 𑂍𑂱 𑂧𑂶𑂁 𑂇𑂮𑂍𑂰 𑂣𑂞𑂰 𑂔𑂰𑂢𑂞𑂰 𑂟𑂰 𑂨𑂰 𑂢𑂯𑂲𑂁।
She didn't want him to go overseas,वह लड़की नहीं चाहती थी कि वह लड़का विदेश जाए।,𑂫𑂯 𑂪𑂙़𑂍𑂲 𑂢𑂯𑂲𑂁 𑂒𑂰𑂯𑂞𑂲 𑂟𑂲 𑂍𑂱 𑂫𑂯 𑂪𑂙़𑂍𑂰 𑂫𑂱𑂠𑂵𑂬 𑂔𑂰𑂉।
She didn't want to speak to anyone,उसे किसी से भी बात करने का मन नहीं था।,𑂇𑂮𑂵 𑂍𑂱𑂮𑂲 𑂮𑂵 𑂦𑂲 𑂥𑂰𑂞 𑂍𑂩𑂢𑂵 𑂍𑂰 𑂧𑂢 𑂢𑂯𑂲𑂁 𑂟𑂰।
She felt insecure about her future,उसको अपना आने वाला कल थोड़ा डाँवाडोल लगा।,𑂇𑂮𑂍𑂷 𑂃𑂣𑂢𑂰 𑂄𑂢𑂵 𑂫𑂰𑂪𑂰 𑂍𑂪 𑂟𑂷𑂙़𑂰 𑂙𑂰𑂀𑂫𑂰𑂙𑂷𑂪 𑂪𑂏𑂰।
She felt insecure about her future,उसको अपना भविष्य असुरक्षित लगा।,𑂇𑂮𑂍𑂷 𑂃𑂣𑂢𑂰 𑂦𑂫𑂱𑂭𑂹𑂨 𑂃𑂮𑂳𑂩𑂍𑂹𑂭𑂱𑂞 𑂪𑂏𑂰।
She is busy preparing for the trip,वह सफ़र की तैयारी में लगी हुई है।,𑂫𑂯 𑂮𑂤़𑂩 𑂍𑂲 𑂞𑂶𑂨𑂰𑂩𑂲 𑂧𑂵𑂁 𑂪𑂏𑂲 𑂯𑂳𑂆 𑂯𑂶।
She was very surprised at the news,वह खबर सुनकर हैरान रह गई।,𑂫𑂯 𑂎𑂥𑂩 𑂮𑂳𑂢𑂍𑂩 𑂯𑂶𑂩𑂰𑂢 𑂩𑂯 𑂏𑂆।
She went to the market once a week,वह हफ़्ते में एक बार बाज़ार जाती थी।,𑂫𑂯 𑂯𑂤़𑂹𑂞𑂵 𑂧𑂵𑂁 𑂉𑂍 𑂥𑂰𑂩 𑂥𑂰𑂔़𑂰𑂩 𑂔𑂰𑂞𑂲 𑂟𑂲।
She's in the garden planting roses,"वह बगीचे में है, गुलाब के फूल लगा रही है।","𑂫𑂯 𑂥𑂏𑂲𑂒𑂵 𑂧𑂵𑂁 𑂯𑂶, 𑂏𑂳𑂪𑂰𑂥 𑂍𑂵 𑂤𑂴𑂪 𑂪𑂏𑂰 𑂩𑂯𑂲 𑂯𑂶।"
"Since he was tired, he went to bed","वह थक गया था, तो सोने चला गया।","𑂫𑂯 𑂟𑂍 𑂏𑂨𑂰 𑂟𑂰, 𑂞𑂷 𑂮𑂷𑂢𑂵 𑂒𑂪𑂰 𑂏𑂨𑂰।"
"Since you're here, you can help me",तुम यहाँ आ ही गए हो तो मेरी मदद कर सकते हो।,𑂞𑂳𑂧 𑂨𑂯𑂰𑂀 𑂄 𑂯𑂲 𑂏𑂉 𑂯𑂷 𑂞𑂷 𑂧𑂵𑂩𑂲 𑂧𑂠𑂠 𑂍𑂩 𑂮𑂍𑂞𑂵 𑂯𑂷।
Take this medicine every six hours,इस दवाई को हर छः घंटे लेना।,𑂅𑂮 𑂠𑂫𑂰𑂆 𑂍𑂷 𑂯𑂩 𑂓𑂂 𑂐𑂁𑂗𑂵 𑂪𑂵𑂢𑂰।
Teaching English is his profession,अंग्रेज़ी पढ़ाना उसका पेशा है।,𑂃𑂁𑂏𑂹𑂩𑂵𑂔़𑂲 𑂣𑂛़𑂰𑂢𑂰 𑂇𑂮𑂍𑂰 𑂣𑂵𑂬𑂰 𑂯𑂶।
The animals in the forest died off,जंगल के जानवर मर गए।,𑂔𑂁𑂏𑂪 𑂍𑂵 𑂔𑂰𑂢𑂫𑂩 𑂧𑂩 𑂏𑂉।
